fita,status,ult movimentação
VV0076L5,EM CLIENTE,16/07/2019
FTD387L5,ARMAZENADO,24/05/2022
DIH875L5,EM CLIENTE,17/12/2019
FTD423L5,ARMAZENADO,17/11/2020
FIC015L5,ARMAZENADO,01/03/2022
SAP071L8,EM CLIENTE,19/07/2022
FCF050L5,ARMAZENADO,06/07/2021
FCF043L5,ARMAZENADO,06/07/2021
FTC977L5,EM CLIENTE,10/06/2022
FTF017L5,ARMAZENADO,01/03/2022
BDB641L6,ARMAZENADO,31/05/2022
FTD414L5,EM CLIENTE,10/06/2022
DIH126L5,EM CLIENTE,11/08/2020
FTH361L5,ARMAZENADO,31/08/2021
FTH460L5,ARMAZENADO,
GM1240L5,ARMAZENADO,
DIH888L5,EM CLIENTE,14/01/2020
VV0087L5,ARMAZENADO,18/10/2022
FTG884L5,ARMAZENADO,19/05/2020
FTD379L5,ARMAZENADO,24/05/2022
VV0119L5,ARMAZENADO,16/04/2019
GFK829L5,ARMAZENADO,31/05/2022
DIH290L5,ARMAZENADO,22/09/2020
SJP043L7,EM CLIENTE,17/11/2020
DIH017L5,ARMAZENADO,16/02/2021
BDB456L6,ARMAZENADO,27/12/2019
FTD013L5,ARMAZENADO,04/01/2022
BBM730L5,ARMAZENADO,30/11/2021
BDB728L6,ARMAZENADO,05/04/2022
BDB458L6,ARMAZENADO,25/06/2019
BDB480L6,ARMAZENADO,
DIH997L5,ARMAZENADO,07/12/2021
UHU007L5,EM CLIENTE,15/03/2022
DIH079L5,EM CLIENTE,23/05/2022
FTE763L5,ARMAZENADO,13/07/2021
BDB712L6,EM CLIENTE,10/06/2022
DII071L5,ARMAZENADO,16/04/2019
UHU001L5,EM CLIENTE,17/01/2023
CZX585L5,ARMAZENADO,16/04/2019
FTC721L5,EM CLIENTE,16/04/2019
VV0167L5,ARMAZENADO,
FCF095L5,ARMAZENADO,25/11/2019
FCD364L5,ARMAZENADO,
DIH198L5,ARMAZENADO,31/08/2020
FIB998L5,ARMAZENADO,28/09/2021
BDB518L6,ARMAZENADO,28/09/2021
CRZ030L5,ARMAZENADO,16/04/2019
BDB705L6,ARMAZENADO,24/05/2022
LCT086L4,ARMAZENADO,03/05/2022
GFK791L5,ARMAZENADO,22/03/2022
FCD604L5,ARMAZENADO,01/11/2021
FTD280L5,ARMAZENADO,16/04/2019
CFL166L6,ARMAZENADO,24/12/2019
FTH309L5,ARMAZENADO,16/04/2019
BDB894L6,ARMAZENADO,30/11/2021
FTC675L5,ARMAZENADO,24/05/2022
FCD589L5,ARMAZENADO,01/11/2021
FTG685L5,ARMAZENADO,16/04/2019
CFK965L6,ARMAZENADO,27/12/2019
DIH202L5,EM CLIENTE,25/08/2020
FTH131L5,ARMAZENADO,08/09/2020
DII101L5,EM CLIENTE,19/07/2022
SP0009L5,ARMAZENADO,21/06/2022
DIH971L5,ARMAZENADO,14/06/2022
FFC017L5,ARMAZENADO,26/04/2022
CZX798L5,EM CLIENTE,11/08/2020
BDB531L6,ARMAZENADO,23/04/2019
FTG580L5,ARMAZENADO,12/07/2022
BDB689L6,ARMAZENADO,03/05/2022
VV0033L5,ARMAZENADO,
CIO207L6,ARMAZENADO,
FCE952L5,EM CLIENTE,19/01/2021
CZY977L5,EM CLIENTE,17/11/2022
BDB798L6,ARMAZENADO,25/11/2019
BDB589L6,ARMAZENADO,01/03/2022
FIC037L5,ARMAZENADO,01/03/2022
FCD074L5,ARMAZENADO,
CZY683L5,ARMAZENADO,16/04/2019
FCD627L5,ARMAZENADO,22/03/2022
FFB986L5,ARMAZENADO,15/03/2022
BDB639L6,ARMAZENADO,31/05/2022
GOI016L7,EM CLIENTE,14/09/2021
FFC215L5,ARMAZENADO,19/04/2022
FCD651L5,ARMAZENADO,04/01/2022
FTD000L5,ARMAZENADO,28/09/2021
FTH121L5,ARMAZENADO,06/07/2021
CGB407L6,EM CLIENTE,18/03/2021
SAA166L5,ARMAZENADO,14/01/2020
CBG061L6,ARMAZENADO,
FTE776L5,ARMAZENADO,11/10/2021
DIH106L5,EM CLIENTE,19/01/2021
FTG614L5,ARMAZENADO,06/07/2021
FTG591L5,EM CLIENTE,17/11/2022
FTH375L5,ARMAZENADO,
DIH972L5,ARMAZENADO,14/06/2022
FTC996L5,ARMAZENADO,01/03/2022
DII010L5,ARMAZENADO,04/01/2022
CPW108L4,ARMAZENADO,05/04/2022
BDB652L6,ARMAZENADO,06/07/2021
FCD638L5,ARMAZENADO,04/01/2022
FTC963L5,ARMAZENADO,04/01/2022
FFC003L5,ARMAZENADO,22/03/2022
BDB499L6,ARMAZENADO,31/05/2022
FTD283L5,ARMAZENADO,16/04/2019
DIH219L5,ARMAZENADO,18/10/2022
FTC605L5,ARMAZENADO,01/03/2022
FFC245L5,EM CLIENTE,14/06/2022
FTG655L5,EM CLIENTE,17/01/2023
CZX770L5,ARMAZENADO,25/08/2020
FTH102L5,ARMAZENADO,24/12/2019
FTG681L5,ARMAZENADO,16/04/2019
FCD969L5,ARMAZENADO,
SP0028L5,ARMAZENADO,14/12/2021
BLK069L5,ARMAZENADO,18/06/2019
BDB758L6,ARMAZENADO,17/05/2022
FCE915L5,EM CLIENTE,25/01/2022
FTD011L5,ARMAZENADO,04/01/2022
CIO224L6,ARMAZENADO,01/11/2021
BDB858L6,ARMAZENADO,28/09/2021
VV0011L5,ARMAZENADO,16/07/2019
FTG944L5,ARMAZENADO,01/03/2022
